,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number
37,5.0,5.0,2.4773124421198793,355.588,24.787,-12.664,0.275,37.977449659649956,26.520914570215595,38
38,5.0,5.0,2.4773124421198793,252.016,64.322,122.766,0.249,37.97726665911135,26.463993499563916,39
39,5.0,5.0,2.4773124421198793,190.41,62.526,51.74,0.277,37.9770576584962,26.407074418875084,40
40,5.0,5.0,2.4773124421198793,184.505,70.378,54.779,0.266,37.976828657822196,26.350153330465787,41
41,5.0,5.0,2.4773124421198793,61.53,28.274,144.868,0.155,37.97656865705696,26.293225230089643,42
42,5.0,5.0,2.4773124421198793,176.091,8.355,82.847,0.236,37.940588551174514,27.431390352067705,43
43,5.0,5.0,2.4773124421198793,122.696,7.402,37.569,0.354,37.94084755193659,27.374500451879282,44
44,5.0,5.0,2.4773124421198793,157.216,9.253,72.214,0.317,37.941076552610404,27.31760054013074,45
45,5.0,5.0,2.4773124421198793,113.267,16.018,40.262,0.273,37.941286553228316,27.260709621060908,46
46,5.0,5.0,2.4773124421198793,329.915,61.988,120.969,0.231,37.94146955376677,27.20380969158646,47
47,5.0,5.0,2.4773124421198793,263.762,82.248,3.616,0.206,37.94161855420519,27.146921749009376,48
48,5.0,5.0,2.4773124421198793,105.594,79.724,14.931,0.216,37.941736554552385,27.090021794485544,49
49,5.0,5.0,2.4773124421198793,225.049,80.335,-134.947,0.222,37.94183955485547,27.03313083418106,50
50,5.0,5.0,2.4773124421198793,244.285,61.862,-150.772,0.318,37.94190855505849,26.976230860773317,51
51,5.0,5.0,2.4773124421198793,259.781,42.347,-137.71,0.461,37.941950555182075,26.91933087695995,52
52,5.0,5.0,2.4773124421198793,305.002,30.191,-77.267,0.535,37.94195755520266,26.862440879657726,53
53,5.0,5.0,2.4773124421198793,330.254,31.82,-46.809,0.563,37.941950555182075,26.80554987695995,54
54,5.0,5.0,2.4773124421198793,350.185,27.371,-34.043,0.557,37.94190855505849,26.748649860773316,55
55,5.0,5.0,2.4773124421198793,340.031,16.74,-53.28,0.569,37.94183955485547,26.69174983418106,56
