   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
   34     0.243      26.264931      37.888390      14.373100     10.00      5.00   159.989    63.435    68.005    -50.00     -5.00    1
   35     0.368      26.378481      37.884171      14.373100     10.00      5.00   112.229    60.180   -69.898    -40.00     -5.00    0
   36     0.914      26.492020      37.879841      14.373100     10.00      5.00   101.203    59.952   -86.874    -30.00     -5.00    0
   37     0.750      26.605551      37.875401      14.373100     10.00      5.00    93.334    66.092  -114.302    -20.00     -5.00    0
   38     0.779      26.719061      37.870850      14.373100     10.00      5.00   104.306    55.586  -115.200    -10.00     -5.00    0
   39     0.880      26.832560      37.866192      14.373100     10.00      5.00   115.288    49.449   -71.919      0.00     -5.00    0
   40     1.043      26.946039      37.861420      14.373100     10.00      5.00   116.658    52.076   -49.419     10.00     -5.00    0
   41     0.962      27.059509      37.856541      14.373100     10.00      5.00   120.016    55.057   -38.008     20.00     -5.00    0
   42     0.371      27.172970      37.851559      14.373100     10.00      5.00   110.711    44.676   -61.572     30.00     -5.00    0
   43     0.373      27.286400      37.846458      14.373100     10.00      5.00    58.467    52.143  -136.102     40.00     -5.00    0
   44     0.507      27.399830      37.841251      14.373100     10.00      5.00   123.064    63.606   -51.289     50.00     -5.00    0
   45     0.204      26.266199      37.910210      10.000000     10.00      5.00   310.044    60.038   -14.067    -50.00      0.00    0
   46     0.712      26.379789      37.905991      10.000000     10.00      5.00    77.122    57.366  -109.476    -40.00      0.00    0
   47     1.331      26.493361      37.901649      10.000000     10.00      5.00    95.969    57.570   -88.453    -30.00      0.00    0
   48     1.142      26.606920      37.897209      10.000000     10.00      5.00    91.071    59.923  -114.456    -20.00      0.00    0
   49     1.142      26.720470      37.892658      10.000000     10.00      5.00   100.030    53.559  -114.822    -10.00      0.00    0
   50     1.274      26.834000      37.888000      10.000000     10.00      5.00   110.896    50.642   -80.337      0.00      0.00    0
   51     1.457      26.947519      37.883228      10.000000     10.00      5.00   114.702    53.037   -57.647     10.00      0.00    0
   52     1.389      27.061020      37.878349      10.000000     10.00      5.00   116.247    52.893   -46.824     20.00      0.00    0
   53     0.728      27.174509      37.873360      10.000000     10.00      5.00   112.851    50.337   -50.256     30.00      0.00    0
   54     0.596      27.287979      37.868259      10.000000     10.00      5.00    92.623    37.893   -83.616     40.00      0.00    0
   55     0.586      27.401440      37.863060      10.000000     10.00      5.00   122.788    62.817   -51.125     50.00      0.00    0
   56     0.285      26.267481      37.932018       5.626900     10.00      5.00    54.336    66.180  -136.531    -50.00      5.00    0
   57     0.871      26.381100      37.927799       5.626900     10.00      5.00    74.176    56.366  -109.961    -40.00      5.00    0
   58     1.684      26.494699      37.923470       5.626900     10.00      5.00    94.764    54.944   -88.245    -30.00      5.00    0
   59     1.390      26.608299      37.919022       5.626900     10.00      5.00    85.470    57.538  -117.028    -20.00      5.00    0
   60     1.373      26.721880      37.914471       5.626900     10.00      5.00    98.542    53.294  -114.115    -10.00      5.00    0
   61     1.535      26.835440      37.909809       5.626900     10.00      5.00   109.619    51.867   -81.466      0.00      5.00    0
   62     1.728      26.948990      37.905041       5.626900     10.00      5.00   113.214    54.426   -61.933     10.00      5.00    0
   63     1.667      27.062531      37.900162       5.626900     10.00      5.00   111.951    50.585   -52.338     20.00      5.00    0
   64     0.970      27.176050      37.895168       5.626900     10.00      5.00   110.309    51.817   -53.136     30.00      5.00    0
   65     0.726      27.289560      37.890072       5.626900     10.00      5.00    96.019    37.161   -76.966     40.00      5.00    0
   66     0.589      27.403040      37.884861       5.626900     10.00      5.00   121.993    59.508   -48.454     50.00      5.00    0
