   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
  117      2.00     10.00     2.082      26.892220      37.907440       5.626900      5.00      5.00   104.102    50.761   -84.150      5.00      5.00
  118      3.00     10.00     1.710      26.948990      37.905041       5.626900      5.00      5.00    99.864    47.561   -84.053     10.00      5.00
  119      4.00     12.00     1.290      27.005760      37.902611       5.626900      5.00      5.00    89.254    45.319   -87.905     15.00      5.00
  120      6.00     10.00     0.889      27.062531      37.900162       5.626900      5.00      5.00    71.827    45.720  -100.036     20.00      5.00
  121      9.00     10.00     0.871      27.119289      37.897678       5.626900      5.00      5.00    69.311    43.627  -108.592     25.00      5.00
  122      8.00     13.00     1.023      27.176050      37.895168       5.626900      5.00      5.00    78.664    42.348  -102.770     30.00      5.00
  123      9.00     12.00     0.872      27.232800      37.892632       5.626900      5.00      5.00    96.246    44.883   -81.564     35.00      5.00
  124     11.00     12.00     0.991      27.289560      37.890072       5.626900      5.00      5.00   111.726    54.920   -65.419     40.00      5.00
  125     13.00     10.00     0.846      27.346300      37.887482       5.626900      5.00      5.00   117.300    59.100   -62.793     45.00      5.00
  126     14.00     12.00     0.527      27.403040      37.884861       5.626900      5.00      5.00   123.653    65.462   -61.256     50.00      5.00
